City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Randesan,Flat,2 BHK,20000,Semi furnished,1395 sq.ft,"24x7 Security, Gymnasium, Landscaped Garden, Lift",Aspirerealities,N/A,N/A
Gandhinagar,Bhaijipura,Flat,2 BHK,25000,Semi furnished,1200 sq.ft,"Pool, Gym, Lift, Parking
RPPrime User",RPPrime User,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,15000,Un-furnished,1200 sq.ft,"Lift, Parking, Power Backup, Garden",Prime User,N/A,N/A
Gandhinagar,Raysan,Villa,4 BHK,65000,Fully furnished,2700 sq.ft,"24x7 Security, Close to Grocery Stores, Metro Station Proximity, Close to Airport",Madhav Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,16000,Un-furnished,1200 sq.ft,"Gym, Lift, Parking, Power Backup",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,22000,Un-furnished,1755 sq.ft,"Lift, Parking, Power Backup, Intercom",EIGHT CORNER REALTORS,N/A,N/A
Gandhinagar,Sughad,Flat,2 BHK,21000,Fully furnished,500 sq.ft,"Close to ATM, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Prime User,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,22000,Un-furnished,2160 sq.ft,"Gym, Lift, Parking, Power Backup",Umiya Real Estate,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,35000,Fully furnished,750 sq.ft,"24x7 Security, Children Play Area, Ceramic Tiles, Earthquake Resistant Structure",Aspirerealities,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,22000,Semi furnished,1440 sq.ft,"24x7 Security, Children Play Area, Close to Mall, Ceramic Tiles",Aspirerealities,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,30000,Fully furnished,2000 sq.ft,"Close to ATM, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Prime User,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,28000,Fully furnished,1600 sq.ft,"24x7 Security, Close to Airport, Close to Grocery Stores, Metro Station Proximity
MRPrime User",Fully furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,40000,Fully furnished,1000 sq.ft,"Close to ATM, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Fully furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,35000,Fully furnished,1500 sq.ft,"24x7 Security, Close to Airport, Metro Station Proximity, Close to Bus Stop
MRPrime User",Fully furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,45000,Fully furnished,1080 sq.ft,"Pool, Gym, Lift, Parking
URPrime User",Fully furnished,N/A,N/A
Gandhinagar,Raysan,Flat,3 BHK,22000,Un-furnished,1680 sq.ft,"Parking
URPrime User",Un-furnished,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,27000,Fully furnished,1500 sq.ft,"24x7 Security, Close to Airport, Close to Grocery Stores, Close to Hospital
MRPrime User",Fully furnished,N/A,N/A
Gandhinagar,Sector,Flat,2 BHK,25000,Fully furnished,849 sq.ft,"Parking, Kids Area, Water Supply, Gas Pipeline
VRPrime User",Fully furnished,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,25000,Fully furnished,1050 sq.ft,"Parking
URPrime User",Fully furnished,N/A,N/A
Gandhinagar,Raysan,Flat,3 BHK,20000,Semi furnished,971 sq.ft,"Lift, Parking, Power Backup, Intercom
RPPrime User",Semi furnished,N/A,N/A
Gandhinagar,Adalaj,Flat,2 BHK,18000,Semi furnished,1800 sq.ft,"Parking
DRPrime User",Semi furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,37000,Fully furnished,1280 sq.ft,"Gym, Lift, Parking, Power Backup
URPrime User",Fully furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,45000,Fully furnished,1280 sq.ft,"Pool, Gym, Lift, Parking
URPrime User",Fully furnished,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,26500,Fully furnished,900 sq.ft,"24x7 Security, Close to Mall, Close to Bus Stop, Close to Movie Theatres
RPPrime User",Fully furnished,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,23000,Semi furnished,2025 sq.ft,"24x7 Security, Business Center, Close to Bus Stop, Close to Hospital
APrime User",Semi furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,35000,Semi furnished,845 sq.ft,"Gym, Lift, Parking, Intercom
VRPrime User",Semi furnished,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,40000,Semi furnished,1109 sq.ft,"Gym, Lift, Parking, Intercom
VRPrime User",Semi furnished,N/A,N/A
Gandhinagar,Bhaijipura,Flat,2 BHK,25000,Un-furnished,1575 sq.ft,"Pool, Gym, Lift, Parking
ECPrime User",Un-furnished,N/A,N/A
